object_id,canonical_name,object_type,final_intent,rows,object_total,background_edges,non_background_edges,row_share,non_background_share,object_label
obj_hmm,HMM,method,compares_against,337,5912,4975,937,0.05700270635994587,0.1584912043301759,HMM (N=5.9k)
obj_hmm,HMM,method,critiques,58,5912,4975,937,0.009810554803788904,0.1584912043301759,HMM (N=5.9k)
obj_hmm,HMM,method,extends,122,5912,4975,937,0.020635994587280108,0.1584912043301759,HMM (N=5.9k)
obj_hmm,HMM,method,uses,414,5912,4975,937,0.07002706359945873,0.1584912043301759,HMM (N=5.9k)
obj_squad,SQuAD,dataset_or_database,applies,14,3438,2646,792,0.004072134962187318,0.23036649214659685,SQuAD (N=3.4k)
obj_squad,SQuAD,dataset_or_database,background,2646,3438,2646,792,0.7696335078534031,0.23036649214659685,SQuAD (N=3.4k)
obj_squad,SQuAD,dataset_or_database,compares_against,248,3438,2646,792,0.07213496218731821,0.23036649214659685,SQuAD (N=3.4k)
obj_squad,SQuAD,dataset_or_database,critiques,29,3438,2646,792,0.008435136707388016,0.23036649214659685,SQuAD (N=3.4k)
obj_squad,SQuAD,dataset_or_database,extends,34,3438,2646,792,0.009889470622454915,0.23036649214659685,SQuAD (N=3.4k)
obj_squad,SQuAD,dataset_or_database,uses,467,3438,2646,792,0.1358347876672484,0.23036649214659685,SQuAD (N=3.4k)
