canonical_name,object_type,applies,background,compares_against,critiques,extends,uses,unclear,total
GloVe,software_or_tool,0,11,0,0,2,7,0,20
Transformer,theory_or_concept,0,20,0,0,0,0,0,20
SemEval,method,0,18,0,0,1,0,0,19
ELMo,claim_or_finding,0,18,0,1,0,0,0,19
ELMo,benchmark_or_protocol,0,16,3,0,0,0,0,19
BLEU,dataset_or_database,0,15,2,0,1,0,0,18
ELMo,software_or_tool,0,3,5,0,1,9,0,18
ROUGE,theory_or_concept,0,18,0,0,0,0,0,18
GIZA++,model,0,11,5,0,1,0,0,17
WordNet,theory_or_concept,0,15,0,0,1,0,0,16
CRF,dataset_or_database,0,8,7,1,0,0,0,16
HMM,task,0,16,0,0,0,0,0,16
Penn Treebank,benchmark_or_protocol,0,12,1,0,1,2,0,16
PropBank,model,0,11,4,1,0,0,0,16
BLEU,benchmark_or_protocol,0,13,1,0,0,2,0,16
PropBank,benchmark_or_protocol,0,13,0,0,0,2,0,15
ELMo,dataset_or_database,0,9,3,0,0,3,0,15
ROUGE,software_or_tool,0,2,1,0,0,11,0,14
seq2seq,software_or_tool,0,2,0,0,0,12,0,14
accuracy,dataset_or_database,0,12,0,0,0,2,0,14
CRF,task,0,14,0,0,0,0,0,14
GIZA++,benchmark_or_protocol,0,10,0,0,0,3,0,13
Moses,model,0,6,3,0,0,4,0,13
accuracy,benchmark_or_protocol,0,6,6,0,0,1,0,13
word2vec,dataset_or_database,0,10,0,0,0,2,0,12
word2vec,claim_or_finding,0,12,0,0,0,0,0,12
F1,claim_or_finding,0,11,1,0,0,0,0,12
ELMo,theory_or_concept,0,12,0,0,0,0,0,12
ELMo,task,0,11,0,0,0,0,0,11
Penn Treebank,model,0,3,2,1,0,4,0,10
FrameNet,claim_or_finding,0,10,0,0,0,0,0,10
CRF,benchmark_or_protocol,0,10,0,0,0,0,0,10
WMT,method,0,7,0,0,0,3,0,10
accuracy,claim_or_finding,0,6,4,0,0,0,0,10
attention mechanism,task,0,9,1,0,0,0,0,10
PropBank,claim_or_finding,0,8,2,0,0,0,0,10
ROUGE,task,0,9,0,0,0,0,0,9
HMM,software_or_tool,0,2,2,0,0,5,0,9
SQuAD,method,0,8,0,0,0,1,0,9
METEOR,theory_or_concept,0,9,0,0,0,0,0,9
seq2seq,dataset_or_database,1,4,2,0,0,2,0,9
word2vec,software_or_tool,0,2,0,0,0,7,0,9
GIZA++,dataset_or_database,1,4,0,0,0,3,0,8
accuracy,model,0,5,2,0,0,1,0,8
PropBank,software_or_tool,0,3,0,0,1,4,0,8
F1,task,0,7,0,0,0,0,0,7
Moses,dataset_or_database,0,5,2,0,0,0,0,7
HMM,benchmark_or_protocol,0,7,0,0,0,0,0,7
F1,software_or_tool,0,1,2,0,0,4,0,7
F1,model,0,2,3,0,0,2,0,7
WordNet,software_or_tool,0,2,0,0,1,4,0,7
WMT,software_or_tool,0,4,0,0,0,3,0,7
CRF,software_or_tool,0,1,0,0,0,6,0,7
WMT,dataset_or_database,0,5,1,0,0,0,0,6
CRF,claim_or_finding,0,6,0,0,0,0,0,6
Penn Treebank,software_or_tool,0,2,0,0,0,4,0,6
seq2seq,benchmark_or_protocol,0,2,4,0,0,0,0,6
WordNet,claim_or_finding,0,5,0,0,1,0,0,6
Penn Treebank,task,1,5,0,0,0,0,0,6
attention mechanism,benchmark_or_protocol,0,4,1,0,0,0,0,5
word2vec,benchmark_or_protocol,0,4,1,0,0,0,0,5
word2vec,task,0,5,0,0,0,0,0,5
word2vec,theory_or_concept,0,4,0,1,0,0,0,5
HMM,dataset_or_database,0,5,0,0,0,0,0,5
Moses,benchmark_or_protocol,1,2,0,0,0,2,0,5
