step,count,retention_from_previous,retention_from_first
section_aware_citation_contexts,1990689,1.0,1.0
resolved_citation_marker_components,3152073,1.5834080562056654,1.5834080562056654
analysis_ready_strong_contexts,1184634,0.3758269557843362,0.5950874295281684
object_graph_candidates,322688,0.2723946805511238,0.16209865026631484
phase1_high_medium_llm_queue,306231,0.9490002727092424,0.15383166330853287
revalidated_phase2_rows,237697,0.7762016255702394,0.11940438712425698
analysis_ready_phase2_labels,229751,0.9665708864647009,0.11541280431046738
evidence_backed_object_graph_edges,193287,0.841289047708171,0.0970955282316826
remaining_failed_phase2_rows,68534,0.28832505248278273,0.0344272761842759
