final_intent,rows,rate
compares_against,153,0.26288659793814434
uses,146,0.2508591065292096
background,125,0.21477663230240548
extends,63,0.10824742268041238
critiques,53,0.09106529209621993
applies,41,0.070446735395189
unclear,1,0.001718213058419244
