method_edge_type,rows,rate
compares,159,0.27319587628865977
background,153,0.26288659793814434
uses_component,125,0.21477663230240548
not_method_related,57,0.0979381443298969
extends,43,0.07388316151202749
adapts,39,0.06701030927835051
improves,6,0.010309278350515464
