canonical_name,object_type,evidence_backed_edge_count,distinct_contexts,mean_confidence
BERT,model,51,51,0.9127450980392157
BLEU,metric,38,38,0.9210526315789473
LSTM,model,35,35,0.9128571428571428
Transformer,model,22,22,0.8954545454545454
CRF,method,21,21,0.9238095238095237
seq2seq,model,17,17,0.9088235294117647
Penn Treebank,dataset_or_database,14,14,0.8985714285714286
word2vec,model,14,14,0.905
GloVe,model,13,13,0.9269230769230768
WordNet,dataset_or_database,13,13,0.8730769230769231
ROUGE,metric,13,13,0.9307692307692308
METEOR,metric,10,10,0.9199999999999999
attention mechanism,method,10,10,0.9
WMT,benchmark_or_protocol,10,10,0.915
ELMo,model,9,9,0.911111111111111
Moses,software_or_tool,8,8,0.91875
SemEval,benchmark_or_protocol,8,8,0.90625
Stanford CoreNLP,software_or_tool,5,5,0.9
GIZA++,software_or_tool,5,5,0.9400000000000001
OntoNotes,dataset_or_database,5,5,0.9
